track_title
Invisible
Forever & Always
Sparks Fly
I Knew You Were Trouble
Holy Ground
Bad Blood
Superman
Red
We Are Never Ever Getting Back Together
The Moment I Knew
Welcome to New York
Shake It Off
You Are in Love
Mean
Better Than Revenge
Ours
Style
Teardrops On My Guitar
Tied Together With A Smile
State of Grace
22
Sad Beautiful Tragic
I Know Places
Cold as You
Stay Beautiful
Our Song
Innocent
Getaway Car
This Is Why We Can't Have Nice Things
Tim McGraw
Haunted
If This Was a Movie
The Lucky One
Girl at Home
Blank Space
Wonderland
Don't Blame Me
Dancing With Our Hands Tied
New Year's Day
Back To December
Starlight
Begin Again
All You Had to Do Was Stay
Wildest Dreams
I'm Only Me When I'm With You
The Last Time (Ft. Gary Lightbody)
Out of the Woods
Look What You Made Me Do
A Place In This World
Fifteen
Love Story
You Belong With Me
Breathe (Ft. Colbie Caillat)
Tell Me Why
Enchanted
End Game (Ft. Ed Sheeran & Future)
Gorgeous
The Outside
White Horse
Speak Now
Never Grow Up
Delicate
Treacherous
This Love
Clean
Dress
Should've Said No
Mine
All Too Well
New Romantics
Call It What You Want
Mary's Song (Oh My My My)
Hey Stephen
Everything Has Changed (Ft. Ed Sheeran)
A Perfectly Good Heart
The Best Day
Stay Stay Stay
Come Back... Be Here
...Ready for It?
King of My Heart
Change
Dear John
I Almost Do
I Did Something Bad
Picture To Burn
Fearless
You're Not Sorry
The Way I Loved You
The Story of Us
Last Kiss
Long Live
I Wish You Would
How You Get The Girl
So It Goes...
